aktionsplan-city-2020-2026,Aktionsplan City 2020 - 2026,https://web6.karlsruhe.de/Stadtentwicklung/PDF/2020/2020-Aktionsplan-City-2020-2026.pdf,PDF,ca51c510-e159-4147-ae54-cebdd1aae877
allgemeinbildende-schulen,Schülerinnen und Schüler insgesamt,https://transparenz.karlsruhe.de/dataset/3ce2c581-b9d8-4d58-b4e9-e656779d041c/resource/de830f9b-e610-4afd-aafa-e71f8d9b7dc3/download/allgemeinbildende-schulen-schulerinnen-und-schuler-insgesamt.csv,CSV,de830f9b-e610-4afd-aafa-e71f8d9b7dc3
allgemeinbildende-schulen,Grundschulen,https://transparenz.karlsruhe.de/dataset/3ce2c581-b9d8-4d58-b4e9-e656779d041c/resource/607e618b-d89a-42e9-bfe5-b7bf4b784b28/download/allgemeinbildende-schulen-grundschulen.csv,CSV,607e618b-d89a-42e9-bfe5-b7bf4b784b28
allgemeinbildende-schulen,Gemeinschaftsschulen (nur Sekundarstufe I),https://transparenz.karlsruhe.de/dataset/3ce2c581-b9d8-4d58-b4e9-e656779d041c/resource/2c7f968e-86bf-44ac-b45e-7c3943990476/download/allgemeinbildende-schulen-gemeinschaftsschulen-nur-sekundarstufe-i.csv,CSV,2c7f968e-86bf-44ac-b45e-7c3943990476
allgemeinbildende-schulen,Realschulen,https://transparenz.karlsruhe.de/dataset/3ce2c581-b9d8-4d58-b4e9-e656779d041c/resource/c93d37d8-2fdb-4e2c-97de-a5eded70af58/download/allgemeinbildende-schulen-realschulen.csv,CSV,c93d37d8-2fdb-4e2c-97de-a5eded70af58
allgemeinbildende-schulen,Sonderpädagogische Bildungs- und Beratungszentren (SBBZ - Sonder-/Förderschulen),https://transparenz.karlsruhe.de/dataset/3ce2c581-b9d8-4d58-b4e9-e656779d041c/resource/4d682cab-33e1-48ce-b947-91143eca1344/download/allgemeinbildende-schulen-sonderpadagogische-bildungs-und-beratungszentren-sbbz-sonder-fordersch.csv,CSV,4d682cab-33e1-48ce-b947-91143eca1344
allgemeinbildende-schulen,Gymnasien,https://transparenz.karlsruhe.de/dataset/3ce2c581-b9d8-4d58-b4e9-e656779d041c/resource/6f1f000e-ff6f-4b4f-aa8a-77956797e91f/download/allgemeinbildende-schulen-gymnasien.csv,CSV,6f1f000e-ff6f-4b4f-aa8a-77956797e91f
allgemeinbildende-schulen,Werkrealschulen,https://transparenz.karlsruhe.de/dataset/3ce2c581-b9d8-4d58-b4e9-e656779d041c/resource/b0807118-2928-493c-b4c4-5336e67a2f5b/download/allgemeinbildende-schulen-werkrealschulen.csv,CSV,b0807118-2928-493c-b4c4-5336e67a2f5b
altersstruktur-der-bevolkerung,Unter 3 Jährige nach Geschlecht,https://transparenz.karlsruhe.de/dataset/cc50eb96-6c3d-4d6f-9dcd-c56c4969ff59/resource/565c1c6e-a50c-46d2-8638-22896d21096f/download/altersstruktur-der-bevolkerung-unter-3-jahrige-nach-geschlecht.csv,CSV,565c1c6e-a50c-46d2-8638-22896d21096f
altersstruktur-der-bevolkerung,Unter 3 Jährige nach Geschlecht (Anteil),https://transparenz.karlsruhe.de/dataset/cc50eb96-6c3d-4d6f-9dcd-c56c4969ff59/resource/32bd3b93-7008-42a4-9736-bb83e726beb7/download/altersstruktur-der-bevolkerung-unter-3-jahrige-nach-geschlecht-anteil.csv,CSV,32bd3b93-7008-42a4-9736-bb83e726beb7
